page	line	y0	y1	x0	x1	text
1	1	11.239814758300781	25.69231605529785	315.3984375	327.42291259765625	®
1	2	18.527446746826172	37.794944763183594	0.0	45.36320495605469	Your
1	2	18.527446746826172	37.794944763183594	50.37018585205078	74.31539154052734	3B
1	2	18.527446746826172	37.794944763183594	79.3372802734375	144.67393493652344	Report
1	2	18.527446746826172	37.794944763183594	149.6805419921875	164.13116455078125	&
1	2	18.527446746826172	37.794944763183594	169.13619995117188	248.21307373046875	Vantage
1	2	18.527446746826172	37.794944763183594	253.23390197753906	315.39093017578125	Scores
1	2	18.527446746826172	37.794944763183594	332.4386291503906	359.9512939453125	3.0
1	3	59.11376953125	68.162109375	96.09375	147.27920532226562	Transunion
1	3	55.589820861816406	62.339820861816406	147.28125	152.89724731445312	®
1	3	59.11376953125	68.162109375	283.46484375	322.9037170410156	Experian
1	3	55.589820861816406	62.339820861816406	322.91015625	328.5261535644531	®
1	3	59.11376953125	68.162109375	467.91796875	501.4383239746094	Equifax
1	3	55.589820861816406	62.339820861816406	501.4453125	507.0613098144531	®
1	4	79.66171264648438	105.34171295166016	102.46875	146.49851989746094	583
1	4	79.66171264648438	105.34171295166016	283.96875	327.99847412109375	563
1	4	79.66171264648438	105.34171295166016	465.46875	509.49847412109375	563
1	5	132.766845703125	140.641845703125	460.01953125	492.943603515625	*Vantage
1	5	132.766845703125	140.641845703125	494.99176025390625	521.5888671875	Score®
1	5	132.766845703125	140.641845703125	523.634765625	534.4950561523438	3.0
1	5	132.766845703125	140.641845703125	536.5469970703125	556.7767944335938	credit
1	5	132.766845703125	140.641845703125	558.826171875	578.2420043945312	score
1	6	143.86376953125	152.912109375	33.75	89.79946899414062	***SECURITY
1	6	143.86376953125	152.912109375	92.14453125	125.39401245117188	FREEZE:
1	6	143.86376953125	152.9296875	127.740234375	143.90110778808594	THE
1	6	143.86376953125	152.9296875	146.2412109375	197.0406951904297	FOLLOWING
1	6	143.86376953125	152.9296875	199.3798828125	228.62176513671875	CREDIT
1	6	143.86376953125	152.9296875	230.96337890625	270.1808776855469	BUREAUS
1	6	143.86376953125	152.9296875	272.5224609375	305.04705810546875	REPORT
1	6	143.86376953125	152.9296875	307.388671875	328.70281982421875	THAT
1	6	143.86376953125	152.9296875	331.04443359375	349.14337158203125	YOU
1	6	143.86376953125	152.9296875	351.4833984375	373.5241394042969	HAVE
1	6	143.86376953125	152.9296875	375.8642578125	408.05810546875	PLACED
1	6	143.86376953125	152.9296875	410.396484375	415.7964782714844	A
1	6	143.86376953125	152.9296875	418.1396484375	457.1556091308594	SECURITY
1	7	157.36376953125	166.4296875	33.75	63.70970153808594	FREEZE
1	7	157.36376953125	166.4296875	66.0498046875	78.27324676513672	OR
1	7	157.36376953125	166.4296875	80.61328125	102.91943359375	LOCK
1	7	157.36376953125	166.4296875	105.2578125	118.62425231933594	ON
1	7	157.36376953125	166.4296875	120.9638671875	139.32931518554688	THIS
1	7	157.36376953125	166.4296875	141.6708984375	160.18692016601562	FILE.
1	7	157.36376953125	166.4296875	162.52734375	206.31564331054688	HOWEVER,
1	7	157.36376953125	166.4296875	208.6611328125	224.82200622558594	THE
1	7	157.36376953125	166.4296875	227.162109375	243.53392028808594	FILE
1	7	157.36376953125	166.4296875	245.8740234375	262.6574401855469	HAS
1	7	157.36376953125	166.4296875	264.9990234375	287.071044921875	BEEN
1	7	157.36376953125	166.4296875	289.41064453125	334.4541015625	DELIVERED
1	7	157.36376953125	166.4296875	336.79248046875	348.3882141113281	TO
1	7	157.36376953125	166.4296875	350.7275390625	368.82647705078125	YOU
1	7	157.36376953125	166.4296875	371.16650390625	400.80108642578125	UNDER
1	7	157.36376953125	166.4296875	403.14111328125	419.3019714355469	THE
1	7	157.36376953125	166.4296875	421.64208984375	470.6740417480469	APPLICABLE
1	7	157.36376953125	166.4296875	473.01416015625	521.180908203125	EXEMPTION
1	7	157.36376953125	166.4296875	523.5205078125	573.922119140625	PROVISIONS
1	8	170.86376953125	179.9296875	33.75	82.76969909667969	(PROVIDING
1	8	170.86376953125	179.9296875	85.10888671875	90.5088882446289	A
1	8	170.86376953125	179.9296875	92.85205078125	141.2732391357422	CONSUMER
1	8	170.86376953125	179.9296875	143.61328125	165.1003875732422	WITH
1	8	170.86376953125	179.9296875	167.4404296875	172.84042358398438	A
1	8	170.86376953125	179.9296875	175.18359375	197.6541290283203	COPY
1	8	170.86376953125	179.9296875	199.99951171875	211.39495849609375	OF
1	8	170.86376953125	179.9296875	213.73681640625	227.38253784179688	HIS
1	8	170.86376953125	179.9296875	229.72412109375	241.9475555419922	OR
1	8	170.86376953125	179.9296875	244.28759765625	261.07696533203125	HER
1	8	170.86376953125	179.9296875	263.4169921875	292.65887451171875	CREDIT
1	8	170.86376953125	179.9296875	295.00048828125	327.52508544921875	REPORT
1	8	170.86376953125	179.9296875	329.86669921875	354.970947265625	UPON
1	8	170.86376953125	179.9296875	357.310546875	373.4714050292969	THE
1	8	170.86376953125	179.9296875	375.8115234375	430.8669128417969	CONSUMER'S
1	8	170.86376953125	179.9296875	433.20849609375	476.0658264160156	REQUEST):
1	9	196.36376953125	205.4296875	33.75	89.22044372558594	TRANSUNION
1	10	245.77294921875	260.853515625	33.75	99.07939147949219	Personal
1	10	245.77294921875	260.853515625	102.978515625	193.72950744628906	Information
1	11	278.11376953125	287.162109375	172.875	224.06045532226562	Transunion
1	11	274.5898132324219	281.3398132324219	224.0625	229.67849731445312	®
1	11	278.11376953125	287.162109375	309.0	348.4388732910156	Experian
